Individual,Age,Sex,Rank
Gran,N_A,F,1
Twe,A,M,2
Gene,A,F,3
Gaya,A,F,4
Wol,A,M,5
Guat,N_A,F,6
Upps,A,F,7
Xala,A,F,8
Xian,A,F,9
Ula,N_A,M,10
Pret,A,F,11
Prai,N_A,F,12
Can,A,M,13
Umt,N_A,M,14
Yan,A,M,15
Cus,A,M,16
Xia,N_A,M,17
Gan,N_A,M,18
Pro,N_A,M,19
Xal,N_A,M,20
Ura,N_A,M,21
Xin,N_A,M,22
Pru,N_A,M,23
Bela,N_A,F,24
Avo,A,M,25
Lima,N_A,F,26
Renn,A,F,27
Roma,A,F,28
Rosl,N_A,F,29
Rey,N_A,M,30
Pye,N_A,M,31
Raba,N_A,F,32
Rioj,N_A,F,33
Reva,A,F,34
