ID_actor,Age,Sex,Rank
Lif,A,M,1
Yalu,A,F,2
Yamu,N_A,F,3
Yeni,A,F,4
Yuko,N_A,F,5
Arn,N_A,M,6
Aare,A,F,7
Amur,A,F,8
Ness,A,F,9
Nah,N_A,M,10
Yze,N_A,M,11
Aara,N_A,F,12
Yara,N_A,F,13
Amg,N_A,M,14
Mara,A,F,15
Mokc,N_A,F,16
Mal,N_A,M,17
Mhao,N_A,F,18
